time=19 turn=0 simulate_cnt=32 simulate_sum=32
time=38 turn=1 simulate_cnt=42 simulate_sum=74
time=57 turn=2 simulate_cnt=104 simulate_sum=178
time=76 turn=3 simulate_cnt=109 simulate_sum=287
time=95 turn=4 simulate_cnt=115 simulate_sum=402
time=114 turn=5 simulate_cnt=114 simulate_sum=516
time=133 turn=6 simulate_cnt=120 simulate_sum=636
time=154 turn=7 simulate_cnt=106 simulate_sum=742
time=173 turn=8 simulate_cnt=119 simulate_sum=861
time=191 turn=9 simulate_cnt=120 simulate_sum=981
time=209 turn=10 simulate_cnt=123 simulate_sum=1104
time=228 turn=11 simulate_cnt=128 simulate_sum=1232
time=247 turn=12 simulate_cnt=127 simulate_sum=1359
time=266 turn=13 simulate_cnt=124 simulate_sum=1483
time=285 turn=14 simulate_cnt=128 simulate_sum=1611
time=304 turn=15 simulate_cnt=136 simulate_sum=1747
time=323 turn=16 simulate_cnt=135 simulate_sum=1882
time=342 turn=17 simulate_cnt=136 simulate_sum=2018
time=361 turn=18 simulate_cnt=136 simulate_sum=2154
time=380 turn=19 simulate_cnt=140 simulate_sum=2294
time=399 turn=20 simulate_cnt=138 simulate_sum=2432
time=418 turn=21 simulate_cnt=142 simulate_sum=2574
time=437 turn=22 simulate_cnt=147 simulate_sum=2721
time=456 turn=23 simulate_cnt=145 simulate_sum=2866
time=475 turn=24 simulate_cnt=150 simulate_sum=3016
time=494 turn=25 simulate_cnt=148 simulate_sum=3164
time=513 turn=26 simulate_cnt=146 simulate_sum=3310
time=532 turn=27 simulate_cnt=145 simulate_sum=3455
time=551 turn=28 simulate_cnt=153 simulate_sum=3608
time=570 turn=29 simulate_cnt=154 simulate_sum=3762
time=589 turn=30 simulate_cnt=161 simulate_sum=3923
time=608 turn=31 simulate_cnt=156 simulate_sum=4079
time=627 turn=32 simulate_cnt=161 simulate_sum=4240
time=646 turn=33 simulate_cnt=158 simulate_sum=4398
time=665 turn=34 simulate_cnt=164 simulate_sum=4562
