time=19 turn=0 simulate_cnt=35 simulate_sum=35
time=38 turn=1 simulate_cnt=93 simulate_sum=128
time=57 turn=2 simulate_cnt=138 simulate_sum=266
time=76 turn=3 simulate_cnt=159 simulate_sum=425
time=95 turn=4 simulate_cnt=159 simulate_sum=584
time=114 turn=5 simulate_cnt=164 simulate_sum=748
time=133 turn=6 simulate_cnt=181 simulate_sum=929
time=152 turn=7 simulate_cnt=180 simulate_sum=1109
time=171 turn=8 simulate_cnt=183 simulate_sum=1292
time=190 turn=9 simulate_cnt=182 simulate_sum=1474
time=209 turn=10 simulate_cnt=184 simulate_sum=1658
time=228 turn=11 simulate_cnt=142 simulate_sum=1800
time=247 turn=12 simulate_cnt=188 simulate_sum=1988
time=266 turn=13 simulate_cnt=194 simulate_sum=2182
time=285 turn=14 simulate_cnt=193 simulate_sum=2375
time=304 turn=15 simulate_cnt=192 simulate_sum=2567
time=323 turn=16 simulate_cnt=191 simulate_sum=2758
time=342 turn=17 simulate_cnt=205 simulate_sum=2963
time=361 turn=18 simulate_cnt=204 simulate_sum=3167
time=380 turn=19 simulate_cnt=203 simulate_sum=3370
time=399 turn=20 simulate_cnt=207 simulate_sum=3577
time=418 turn=21 simulate_cnt=215 simulate_sum=3792
time=437 turn=22 simulate_cnt=211 simulate_sum=4003
time=456 turn=23 simulate_cnt=213 simulate_sum=4216
time=475 turn=24 simulate_cnt=213 simulate_sum=4429
time=494 turn=25 simulate_cnt=218 simulate_sum=4647
time=513 turn=26 simulate_cnt=213 simulate_sum=4860
time=532 turn=27 simulate_cnt=213 simulate_sum=5073
time=551 turn=28 simulate_cnt=215 simulate_sum=5288
time=570 turn=29 simulate_cnt=218 simulate_sum=5506
time=589 turn=30 simulate_cnt=227 simulate_sum=5733
time=608 turn=31 simulate_cnt=226 simulate_sum=5959
time=627 turn=32 simulate_cnt=240 simulate_sum=6199
time=646 turn=33 simulate_cnt=229 simulate_sum=6428
time=665 turn=34 simulate_cnt=237 simulate_sum=6665
time=684 turn=35 simulate_cnt=241 simulate_sum=6906
time=704 turn=36 simulate_cnt=242 simulate_sum=7148
time=722 turn=37 simulate_cnt=242 simulate_sum=7390
time=741 turn=38 simulate_cnt=250 simulate_sum=7640
time=760 turn=39 simulate_cnt=255 simulate_sum=7895
time=779 turn=40 simulate_cnt=255 simulate_sum=8150
time=798 turn=41 simulate_cnt=268 simulate_sum=8418
time=817 turn=42 simulate_cnt=262 simulate_sum=8680
time=836 turn=43 simulate_cnt=267 simulate_sum=8947
time=855 turn=44 simulate_cnt=274 simulate_sum=9221
time=874 turn=45 simulate_cnt=277 simulate_sum=9498
time=893 turn=46 simulate_cnt=288 simulate_sum=9786
time=912 turn=47 simulate_cnt=263 simulate_sum=10049
time=931 turn=48 simulate_cnt=292 simulate_sum=10341
time=950 turn=49 simulate_cnt=296 simulate_sum=10637
time=969 turn=50 simulate_cnt=304 simulate_sum=10941
time=988 turn=51 simulate_cnt=303 simulate_sum=11244
time=1007 turn=52 simulate_cnt=329 simulate_sum=11573
time=1026 turn=53 simulate_cnt=319 simulate_sum=11892
time=1045 turn=54 simulate_cnt=330 simulate_sum=12222
time=1064 turn=55 simulate_cnt=349 simulate_sum=12571
time=1083 turn=56 simulate_cnt=351 simulate_sum=12922
time=1102 turn=57 simulate_cnt=360 simulate_sum=13282
time=1121 turn=58 simulate_cnt=379 simulate_sum=13661
time=1140 turn=59 simulate_cnt=347 simulate_sum=14008
time=1159 turn=60 simulate_cnt=363 simulate_sum=14371
time=1178 turn=61 simulate_cnt=347 simulate_sum=14718
time=1197 turn=62 simulate_cnt=378 simulate_sum=15096
time=1216 turn=63 simulate_cnt=390 simulate_sum=15486
time=1235 turn=64 simulate_cnt=418 simulate_sum=15904
time=1254 turn=65 simulate_cnt=423 simulate_sum=16327
time=1273 turn=66 simulate_cnt=430 simulate_sum=16757
time=1292 turn=67 simulate_cnt=409 simulate_sum=17166
time=1311 turn=68 simulate_cnt=423 simulate_sum=17589
time=1330 turn=69 simulate_cnt=476 simulate_sum=18065
time=1349 turn=70 simulate_cnt=495 simulate_sum=18560
time=1368 turn=71 simulate_cnt=492 simulate_sum=19052
time=1387 turn=72 simulate_cnt=535 simulate_sum=19587
time=1406 turn=73 simulate_cnt=496 simulate_sum=20083
time=1425 turn=74 simulate_cnt=568 simulate_sum=20651
time=1444 turn=75 simulate_cnt=566 simulate_sum=21217
time=1463 turn=76 simulate_cnt=566 simulate_sum=21783
time=1482 turn=77 simulate_cnt=617 simulate_sum=22400
time=1501 turn=78 simulate_cnt=601 simulate_sum=23001
time=1520 turn=79 simulate_cnt=596 simulate_sum=23597
time=1539 turn=80 simulate_cnt=651 simulate_sum=24248
time=1558 turn=81 simulate_cnt=670 simulate_sum=24918
time=1577 turn=82 simulate_cnt=732 simulate_sum=25650
time=1596 turn=83 simulate_cnt=751 simulate_sum=26401
time=1615 turn=84 simulate_cnt=805 simulate_sum=27206
time=1634 turn=85 simulate_cnt=756 simulate_sum=27962
time=1653 turn=86 simulate_cnt=818 simulate_sum=28780
time=1672 turn=87 simulate_cnt=823 simulate_sum=29603
time=1691 turn=88 simulate_cnt=967 simulate_sum=30570
time=1710 turn=89 simulate_cnt=1034 simulate_sum=31604
time=1729 turn=90 simulate_cnt=1023 simulate_sum=32627
time=1748 turn=91 simulate_cnt=934 simulate_sum=33561
time=1767 turn=92 simulate_cnt=1217 simulate_sum=34778
time=1786 turn=93 simulate_cnt=1292 simulate_sum=36070
time=1805 turn=94 simulate_cnt=1364 simulate_sum=37434
time=1824 turn=95 simulate_cnt=1584 simulate_sum=39018
time=1843 turn=96 simulate_cnt=1764 simulate_sum=40782
time=1862 turn=97 simulate_cnt=1988 simulate_sum=42770
time=1881 turn=98 simulate_cnt=2038 simulate_sum=44808
time=1900 turn=99 simulate_cnt=2095 simulate_sum=46903
