time=19 turn=0 simulate_cnt=34 simulate_sum=34
time=38 turn=1 simulate_cnt=111 simulate_sum=145
time=57 turn=2 simulate_cnt=135 simulate_sum=280
time=76 turn=3 simulate_cnt=141 simulate_sum=421
time=95 turn=4 simulate_cnt=128 simulate_sum=549
time=114 turn=5 simulate_cnt=151 simulate_sum=700
time=133 turn=6 simulate_cnt=158 simulate_sum=858
time=152 turn=7 simulate_cnt=156 simulate_sum=1014
time=171 turn=8 simulate_cnt=157 simulate_sum=1171
time=190 turn=9 simulate_cnt=161 simulate_sum=1332
time=209 turn=10 simulate_cnt=165 simulate_sum=1497
time=228 turn=11 simulate_cnt=165 simulate_sum=1662
time=247 turn=12 simulate_cnt=130 simulate_sum=1792
time=266 turn=13 simulate_cnt=170 simulate_sum=1962
time=285 turn=14 simulate_cnt=176 simulate_sum=2138
time=304 turn=15 simulate_cnt=173 simulate_sum=2311
time=323 turn=16 simulate_cnt=173 simulate_sum=2484
time=342 turn=17 simulate_cnt=178 simulate_sum=2662
time=361 turn=18 simulate_cnt=177 simulate_sum=2839
time=380 turn=19 simulate_cnt=165 simulate_sum=3004
time=399 turn=20 simulate_cnt=179 simulate_sum=3183
time=418 turn=21 simulate_cnt=181 simulate_sum=3364
time=437 turn=22 simulate_cnt=183 simulate_sum=3547
time=456 turn=23 simulate_cnt=187 simulate_sum=3734
time=475 turn=24 simulate_cnt=204 simulate_sum=3938
time=494 turn=25 simulate_cnt=191 simulate_sum=4129
time=513 turn=26 simulate_cnt=193 simulate_sum=4322
time=532 turn=27 simulate_cnt=190 simulate_sum=4512
time=551 turn=28 simulate_cnt=199 simulate_sum=4711
time=570 turn=29 simulate_cnt=193 simulate_sum=4904
time=589 turn=30 simulate_cnt=198 simulate_sum=5102
time=608 turn=31 simulate_cnt=200 simulate_sum=5302
time=627 turn=32 simulate_cnt=206 simulate_sum=5508
time=646 turn=33 simulate_cnt=192 simulate_sum=5700
time=665 turn=34 simulate_cnt=209 simulate_sum=5909
time=684 turn=35 simulate_cnt=222 simulate_sum=6131
time=703 turn=36 simulate_cnt=207 simulate_sum=6338
time=722 turn=37 simulate_cnt=216 simulate_sum=6554
time=741 turn=38 simulate_cnt=222 simulate_sum=6776
time=760 turn=39 simulate_cnt=228 simulate_sum=7004
time=779 turn=40 simulate_cnt=234 simulate_sum=7238
time=798 turn=41 simulate_cnt=230 simulate_sum=7468
time=817 turn=42 simulate_cnt=224 simulate_sum=7692
time=836 turn=43 simulate_cnt=239 simulate_sum=7931
time=855 turn=44 simulate_cnt=245 simulate_sum=8176
time=874 turn=45 simulate_cnt=242 simulate_sum=8418
time=893 turn=46 simulate_cnt=246 simulate_sum=8664
time=912 turn=47 simulate_cnt=251 simulate_sum=8915
time=931 turn=48 simulate_cnt=259 simulate_sum=9174
time=950 turn=49 simulate_cnt=266 simulate_sum=9440
time=969 turn=50 simulate_cnt=283 simulate_sum=9723
time=988 turn=51 simulate_cnt=280 simulate_sum=10003
time=1007 turn=52 simulate_cnt=301 simulate_sum=10304
time=1026 turn=53 simulate_cnt=280 simulate_sum=10584
time=1045 turn=54 simulate_cnt=301 simulate_sum=10885
time=1064 turn=55 simulate_cnt=318 simulate_sum=11203
time=1083 turn=56 simulate_cnt=332 simulate_sum=11535
time=1102 turn=57 simulate_cnt=329 simulate_sum=11864
time=1121 turn=58 simulate_cnt=334 simulate_sum=12198
time=1140 turn=59 simulate_cnt=321 simulate_sum=12519
time=1159 turn=60 simulate_cnt=328 simulate_sum=12847
time=1178 turn=61 simulate_cnt=345 simulate_sum=13192
time=1197 turn=62 simulate_cnt=360 simulate_sum=13552
time=1216 turn=63 simulate_cnt=368 simulate_sum=13920
time=1235 turn=64 simulate_cnt=373 simulate_sum=14293
time=1254 turn=65 simulate_cnt=390 simulate_sum=14683
time=1273 turn=66 simulate_cnt=391 simulate_sum=15074
time=1292 turn=67 simulate_cnt=404 simulate_sum=15478
time=1311 turn=68 simulate_cnt=399 simulate_sum=15877
time=1330 turn=69 simulate_cnt=410 simulate_sum=16287
time=1349 turn=70 simulate_cnt=436 simulate_sum=16723
time=1368 turn=71 simulate_cnt=447 simulate_sum=17170
time=1387 turn=72 simulate_cnt=447 simulate_sum=17617
time=1406 turn=73 simulate_cnt=475 simulate_sum=18092
time=1425 turn=74 simulate_cnt=505 simulate_sum=18597
time=1444 turn=75 simulate_cnt=559 simulate_sum=19156
time=1463 turn=76 simulate_cnt=534 simulate_sum=19690
time=1482 turn=77 simulate_cnt=560 simulate_sum=20250
time=1501 turn=78 simulate_cnt=580 simulate_sum=20830
time=1520 turn=79 simulate_cnt=555 simulate_sum=21385
time=1539 turn=80 simulate_cnt=586 simulate_sum=21971
time=1558 turn=81 simulate_cnt=615 simulate_sum=22586
time=1577 turn=82 simulate_cnt=647 simulate_sum=23233
time=1596 turn=83 simulate_cnt=666 simulate_sum=23899
time=1615 turn=84 simulate_cnt=715 simulate_sum=24614
time=1634 turn=85 simulate_cnt=735 simulate_sum=25349
time=1653 turn=86 simulate_cnt=777 simulate_sum=26126
time=1672 turn=87 simulate_cnt=800 simulate_sum=26926
time=1691 turn=88 simulate_cnt=893 simulate_sum=27819
time=1710 turn=89 simulate_cnt=938 simulate_sum=28757
time=1729 turn=90 simulate_cnt=1007 simulate_sum=29764
time=1748 turn=91 simulate_cnt=1037 simulate_sum=30801
time=1767 turn=92 simulate_cnt=1203 simulate_sum=32004
time=1786 turn=93 simulate_cnt=1239 simulate_sum=33243
time=1805 turn=94 simulate_cnt=1451 simulate_sum=34694
time=1824 turn=95 simulate_cnt=1667 simulate_sum=36361
time=1843 turn=96 simulate_cnt=1760 simulate_sum=38121
time=1862 turn=97 simulate_cnt=2004 simulate_sum=40125
time=1882 turn=98 simulate_cnt=2122 simulate_sum=42247
time=1900 turn=99 simulate_cnt=2004 simulate_sum=44251
