time=19 turn=0 simulate_cnt=42 simulate_sum=42
time=38 turn=1 simulate_cnt=131 simulate_sum=173
time=57 turn=2 simulate_cnt=156 simulate_sum=329
time=76 turn=3 simulate_cnt=165 simulate_sum=494
time=95 turn=4 simulate_cnt=165 simulate_sum=659
time=114 turn=5 simulate_cnt=166 simulate_sum=825
time=133 turn=6 simulate_cnt=173 simulate_sum=998
time=152 turn=7 simulate_cnt=178 simulate_sum=1176
time=171 turn=8 simulate_cnt=179 simulate_sum=1355
time=190 turn=9 simulate_cnt=182 simulate_sum=1537
time=209 turn=10 simulate_cnt=186 simulate_sum=1723
time=228 turn=11 simulate_cnt=188 simulate_sum=1911
time=247 turn=12 simulate_cnt=182 simulate_sum=2093
time=266 turn=13 simulate_cnt=201 simulate_sum=2294
time=285 turn=14 simulate_cnt=192 simulate_sum=2486
time=304 turn=15 simulate_cnt=199 simulate_sum=2685
time=323 turn=16 simulate_cnt=190 simulate_sum=2875
time=342 turn=17 simulate_cnt=165 simulate_sum=3040
time=361 turn=18 simulate_cnt=191 simulate_sum=3231
time=380 turn=19 simulate_cnt=208 simulate_sum=3439
time=399 turn=20 simulate_cnt=199 simulate_sum=3638
time=418 turn=21 simulate_cnt=201 simulate_sum=3839
time=437 turn=22 simulate_cnt=208 simulate_sum=4047
time=456 turn=23 simulate_cnt=213 simulate_sum=4260
time=475 turn=24 simulate_cnt=223 simulate_sum=4483
time=494 turn=25 simulate_cnt=215 simulate_sum=4698
time=513 turn=26 simulate_cnt=224 simulate_sum=4922
time=532 turn=27 simulate_cnt=219 simulate_sum=5141
time=551 turn=28 simulate_cnt=230 simulate_sum=5371
time=570 turn=29 simulate_cnt=222 simulate_sum=5593
time=589 turn=30 simulate_cnt=240 simulate_sum=5833
time=608 turn=31 simulate_cnt=228 simulate_sum=6061
time=627 turn=32 simulate_cnt=237 simulate_sum=6298
time=646 turn=33 simulate_cnt=238 simulate_sum=6536
time=665 turn=34 simulate_cnt=237 simulate_sum=6773
time=684 turn=35 simulate_cnt=246 simulate_sum=7019
time=703 turn=36 simulate_cnt=241 simulate_sum=7260
time=722 turn=37 simulate_cnt=253 simulate_sum=7513
time=741 turn=38 simulate_cnt=266 simulate_sum=7779
time=760 turn=39 simulate_cnt=245 simulate_sum=8024
time=779 turn=40 simulate_cnt=251 simulate_sum=8275
time=798 turn=41 simulate_cnt=262 simulate_sum=8537
time=817 turn=42 simulate_cnt=252 simulate_sum=8789
time=836 turn=43 simulate_cnt=282 simulate_sum=9071
time=855 turn=44 simulate_cnt=283 simulate_sum=9354
time=874 turn=45 simulate_cnt=288 simulate_sum=9642
time=893 turn=46 simulate_cnt=303 simulate_sum=9945
time=912 turn=47 simulate_cnt=295 simulate_sum=10240
time=931 turn=48 simulate_cnt=302 simulate_sum=10542
time=950 turn=49 simulate_cnt=307 simulate_sum=10849
time=969 turn=50 simulate_cnt=328 simulate_sum=11177
time=988 turn=51 simulate_cnt=309 simulate_sum=11486
time=1007 turn=52 simulate_cnt=332 simulate_sum=11818
time=1026 turn=53 simulate_cnt=338 simulate_sum=12156
time=1045 turn=54 simulate_cnt=339 simulate_sum=12495
time=1064 turn=55 simulate_cnt=396 simulate_sum=12891
time=1083 turn=56 simulate_cnt=380 simulate_sum=13271
time=1102 turn=57 simulate_cnt=370 simulate_sum=13641
time=1121 turn=58 simulate_cnt=395 simulate_sum=14036
time=1140 turn=59 simulate_cnt=388 simulate_sum=14424
time=1159 turn=60 simulate_cnt=387 simulate_sum=14811
time=1178 turn=61 simulate_cnt=378 simulate_sum=15189
time=1197 turn=62 simulate_cnt=402 simulate_sum=15591
time=1216 turn=63 simulate_cnt=441 simulate_sum=16032
time=1235 turn=64 simulate_cnt=441 simulate_sum=16473
time=1254 turn=65 simulate_cnt=462 simulate_sum=16935
time=1273 turn=66 simulate_cnt=461 simulate_sum=17396
time=1292 turn=67 simulate_cnt=512 simulate_sum=17908
time=1311 turn=68 simulate_cnt=506 simulate_sum=18414
time=1330 turn=69 simulate_cnt=504 simulate_sum=18918
time=1349 turn=70 simulate_cnt=521 simulate_sum=19439
time=1368 turn=71 simulate_cnt=549 simulate_sum=19988
time=1387 turn=72 simulate_cnt=607 simulate_sum=20595
time=1406 turn=73 simulate_cnt=583 simulate_sum=21178
time=1425 turn=74 simulate_cnt=628 simulate_sum=21806
time=1444 turn=75 simulate_cnt=655 simulate_sum=22461
