time=38 turn=0 simulate_cnt=66 simulate_sum=66
time=75 turn=1 simulate_cnt=297 simulate_sum=363
time=111 turn=2 simulate_cnt=328 simulate_sum=691
time=147 turn=3 simulate_cnt=331 simulate_sum=1022
time=182 turn=4 simulate_cnt=316 simulate_sum=1338
time=217 turn=5 simulate_cnt=311 simulate_sum=1649
time=251 turn=6 simulate_cnt=319 simulate_sum=1968
time=285 turn=7 simulate_cnt=327 simulate_sum=2295
time=318 turn=8 simulate_cnt=324 simulate_sum=2619
time=351 turn=9 simulate_cnt=331 simulate_sum=2950
time=383 turn=10 simulate_cnt=260 simulate_sum=3210
time=415 turn=11 simulate_cnt=320 simulate_sum=3530
time=446 turn=12 simulate_cnt=302 simulate_sum=3832
time=477 turn=13 simulate_cnt=321 simulate_sum=4153
time=507 turn=14 simulate_cnt=307 simulate_sum=4460
time=537 turn=15 simulate_cnt=320 simulate_sum=4780
time=566 turn=16 simulate_cnt=299 simulate_sum=5079
time=595 turn=17 simulate_cnt=313 simulate_sum=5392
time=623 turn=18 simulate_cnt=298 simulate_sum=5690
time=651 turn=19 simulate_cnt=301 simulate_sum=5991
time=679 turn=20 simulate_cnt=302 simulate_sum=6293
time=706 turn=21 simulate_cnt=293 simulate_sum=6586
time=733 turn=22 simulate_cnt=295 simulate_sum=6881
time=759 turn=23 simulate_cnt=298 simulate_sum=7179
time=785 turn=24 simulate_cnt=316 simulate_sum=7495
time=811 turn=25 simulate_cnt=295 simulate_sum=7790
time=836 turn=26 simulate_cnt=282 simulate_sum=8072
time=861 turn=27 simulate_cnt=277 simulate_sum=8349
time=885 turn=28 simulate_cnt=297 simulate_sum=8646
time=909 turn=29 simulate_cnt=285 simulate_sum=8931
time=933 turn=30 simulate_cnt=295 simulate_sum=9226
time=956 turn=31 simulate_cnt=275 simulate_sum=9501
time=979 turn=32 simulate_cnt=287 simulate_sum=9788
time=1001 turn=33 simulate_cnt=271 simulate_sum=10059
time=1023 turn=34 simulate_cnt=281 simulate_sum=10340
time=1045 turn=35 simulate_cnt=274 simulate_sum=10614
time=1066 turn=36 simulate_cnt=261 simulate_sum=10875
time=1087 turn=37 simulate_cnt=279 simulate_sum=11154
time=1108 turn=38 simulate_cnt=291 simulate_sum=11445
time=1128 turn=39 simulate_cnt=276 simulate_sum=11721
time=1148 turn=40 simulate_cnt=256 simulate_sum=11977
time=1168 turn=41 simulate_cnt=280 simulate_sum=12257
time=1187 turn=42 simulate_cnt=265 simulate_sum=12522
time=1206 turn=43 simulate_cnt=265 simulate_sum=12787
time=1225 turn=44 simulate_cnt=289 simulate_sum=13076
time=1244 turn=45 simulate_cnt=298 simulate_sum=13374
time=1262 turn=46 simulate_cnt=281 simulate_sum=13655
time=1280 turn=47 simulate_cnt=277 simulate_sum=13932
time=1298 turn=48 simulate_cnt=276 simulate_sum=14208
time=1315 turn=49 simulate_cnt=267 simulate_sum=14475
time=1332 turn=50 simulate_cnt=276 simulate_sum=14751
time=1349 turn=51 simulate_cnt=280 simulate_sum=15031
time=1365 turn=52 simulate_cnt=301 simulate_sum=15332
time=1381 turn=53 simulate_cnt=280 simulate_sum=15612
time=1397 turn=54 simulate_cnt=293 simulate_sum=15905
time=1413 turn=55 simulate_cnt=308 simulate_sum=16213
time=1428 turn=56 simulate_cnt=291 simulate_sum=16504
time=1443 turn=57 simulate_cnt=308 simulate_sum=16812
time=1458 turn=58 simulate_cnt=301 simulate_sum=17113
time=1473 turn=59 simulate_cnt=293 simulate_sum=17406
time=1487 turn=60 simulate_cnt=290 simulate_sum=17696
time=1501 turn=61 simulate_cnt=288 simulate_sum=17984
time=1515 turn=62 simulate_cnt=314 simulate_sum=18298
time=1529 turn=63 simulate_cnt=318 simulate_sum=18616
time=1543 turn=64 simulate_cnt=327 simulate_sum=18943
time=1556 turn=65 simulate_cnt=313 simulate_sum=19256
time=1569 turn=66 simulate_cnt=334 simulate_sum=19590
time=1582 turn=67 simulate_cnt=338 simulate_sum=19928
time=1595 turn=68 simulate_cnt=342 simulate_sum=20270
time=1607 turn=69 simulate_cnt=312 simulate_sum=20582
time=1619 turn=70 simulate_cnt=331 simulate_sum=20913
time=1631 turn=71 simulate_cnt=324 simulate_sum=21237
time=1643 turn=72 simulate_cnt=395 simulate_sum=21632
