seed	N	M	eps	total	1st	2nd	3rd	4th	5th
0	15	2	0.01	38	1,327,125	0	1,120,183	1,217,006	1,211,375
1	13	6	0.04	27	0	0	0	0	0
2	13	2	0.07	68	2,417,617	0	1,525,009	3,947,690	1,614,523
3	19	2	0.08	114	2,541,408	0	2,743,853	2,607,167	1,848,280
4	16	8	0.14	94	0	0	0	0	0
5	15	10	0.11	87	0	0	0	0	0
6	10	4	0.15	33	0	0	0	0	0
7	10	5	0.15	45	0	0	0	0	0
8	11	2	0.13	46	4,553,827	0	9,857,608	12,024,170	4,743,748
9	14	2	0.17	41	13,396,970	0	8,773,298	10,126,514	13,059,956
10	10	3	0.13	27	0	0	0	0	0
11	13	8	0.2	55	0	0	0	0	0
12	15	4	0.08	40	0	0	0	0	0
13	16	4	0.11	66	0	0	0	0	0
14	17	7	0.2	111	0	0	0	0	0
15	16	11	0.12	44	0	0	0	0	0
16	16	4	0.06	55	0	0	0	0	0
17	13	3	0.05	73	0	0	3,038,827	3,388,747	3,702,376
18	10	5	0.05	38	0	0	0	0	0
19	20	19	0.11	99	0	0	0	0	0
20	10	2	0.08	41	2,991,399	743,523	4,153,071	3,758,651	2,897,510
21	13	2	0.15	50	7,980,229	0	0	7,336,943	5,145,834
22	12	4	0.17	36	0	0	0	0	0
23	11	4	0.12	44	0	0	0	0	0
24	14	6	0.04	63	0	0	0	0	0
25	13	2	0.2	27	13,247,220	0	0	0	0
26	17	3	0.04	114	0	0	4,596,605	1,922,983	1,494,124
27	12	2	0.2	56	15,117,518	0	10,898,739	0	11,717,488
28	14	3	0.11	78	0	0	0	0	10,209,317
29	16	10	0.1	120	0	0	0	0	0
30	15	9	0.18	54	0	0	0	0	0
31	13	3	0.12	36	0	0	0	0	0
32	16	12	0.04	61	0	0	0	0	0
33	11	5	0.04	45	0	0	0	0	0
34	16	8	0.14	83	0	0	0	0	0
35	10	3	0.17	17	0	0	0	0	0
36	13	8	0.02	70	0	0	0	0	0
37	10	3	0.03	24	0	0	3,277,343	4,336,572	2,832,218
38	13	2	0.06	95	541,775	452,144	3,345,885	2,092,697	2,993,074
39	16	11	0.01	91	0	0	0	0	0
40	16	12	0.11	98	0	0	0	0	0
41	11	3	0.12	29	0	0	0	0	0
42	19	2	0.04	148	1,653,203	0	1,109,013	1,787,503	1,256,680
43	16	9	0.1	88	0	0	0	0	0
44	14	8	0.04	64	0	0	0	0	0
45	15	2	0.07	83	2,185,951	0	2,642,096	2,335,024	2,938,936
46	10	5	0.17	46	0	0	0	0	0
47	16	5	0.1	109	0	0	0	0	0
48	13	8	0.2	66	0	0	0	0	0
49	12	3	0.08	52	0	0	0	6,332,414	7,039,968
50	12	6	0.11	47	0	0	0	0	0
51	13	4	0.06	70	0	0	0	0	0
52	13	4	0.08	39	0	0	0	0	0
53	12	6	0.09	32	0	0	0	0	0
54	11	4	0.02	45	0	0	0	2,852,454	1,000,000,000
55	16	4	0.02	59	0	0	0	3,636,118	3,221,491
56	15	7	0.17	82	0	0	0	0	0
57	17	5	0.02	96	0	0	0	2,910,970	0
58	17	13	0.2	132	0	0	0	0	0
59	13	3	0.13	33	0	0	0	0	0
60	19	5	0.08	130	0	0	0	0	0
61	15	2	0.12	52	9,569,245	0	0	7,995,630	9,167,934
62	14	9	0.1	86	0	0	0	0	0
63	18	10	0.2	101	0	0	0	0	0
64	14	8	0.15	64	0	0	0	0	0
65	14	2	0.03	62	1,325,300	0	1,726,166	1,022,103	1,594,484
66	13	6	0.03	87	0	0	0	0	0
67	15	5	0.19	91	0	0	0	0	0
68	20	2	0.19	190	12,978,748	0	9,281,220	6,741,920	9,584,555
69	12	6	0.02	56	0	0	0	0	0
70	19	10	0.02	105	0	0	0	0	0
71	20	10	0.12	120	0	0	0	0	0
72	14	3	0.12	82	0	0	5,372,519	5,884,358	0
73	14	6	0.19	84	0	0	0	0	0
74	10	4	0.17	43	0	0	0	0	0
75	19	12	0.11	147	0	0	0	0	0
76	13	7	0.01	67	0	0	0	0	0
77	10	3	0.16	52	0	0	8,465,816	0	11,988,096
78	16	4	0.06	71	0	0	0	0	0
79	12	5	0.09	35	0	0	0	0	0
80	13	7	0.13	44	0	0	0	0	0
81	17	4	0.19	118	0	0	0	0	0
82	17	10	0.14	80	0	0	0	0	0
83	13	8	0.18	64	0	0	0	0	0
84	15	7	0.12	64	0	0	0	0	0
85	10	2	0.09	50	3,281,698	712,398	6,306,904	1,553,800	2,124,518
86	10	5	0.14	20	0	0	0	0	0
87	19	5	0.16	94	0	0	0	0	0
88	15	2	0.04	68	2,185,951	0	1,697,288	1,049,056	0
89	17	11	0.04	65	0	0	0	0	0
90	12	2	0.15	49	6,560,898	0	0	0	9,639,037
91	12	7	0.1	42	0	0	0	0	0
92	11	5	0.18	23	0	0	0	0	0
93	10	2	0.05	23	6,292,704	0	7,581,211	4,861,886	3,318,801
94	16	2	0.03	105	892,833	0	1,324,879	946,945	2,412,305
95	14	3	0.2	66	0	0	0	0	0
96	14	3	0.02	54	0	0	2,227,670	2,099,510	2,333,988
97	20	10	0.12	138	0	0	0	0	0
98	13	4	0.07	61	0	0	0	0	0
99	16	7	0.07	55	0	0	0	0	0
