seed	N	M	eps	total	1st	2nd	3rd	4th
0	15	2	0.01	38	373,896	1,127,426	136,155,980	866,481
2	13	2	0.07	68	1,363,505	5,070,120	553,241	2,170,685
3	19	2	0.08	114	162,200,181	3,196,577	162,064,685	2,237,383
8	11	2	0.13	46	1,172,376	5,406,208	1,290,767	11,219,032
9	14	2	0.17	41	1,303,602	12,744,716	72,218,526	17,157,175
20	10	2	0.08	41	532,335	1,858,524	745,690	2,684,369
21	13	2	0.15	50	1,391,050	14,009,250	84,212,600	10,730,681
25	13	2	0.2	27	91,208,916	15,233,752	90,117,851	104,569,930
27	12	2	0.2	56	3,172,628	9,278,628	53,995,803	21,683,423
38	13	2	0.06	95	451,205	1,434,019	281,400	1,761,736
42	19	2	0.04	148	248,635	1,194,401	159,065,372	1,334,046
45	15	2	0.07	83	330,335	3,470,842	124,250,612	2,540,834
61	15	2	0.12	52	66,053,660	5,292,366	65,093,659	10,925,874
65	14	2	0.03	62	342,619	1,521,813	140,179,886	1,300,246
68	20	2	0.19	190	181,658,220	10,247,067	181,062,869	10,099,656
85	10	2	0.09	50	545,268	3,715,208	427,115	4,904,346
88	15	2	0.04	68	471,945	1,874,357	97,164,123	2,790,980
90	12	2	0.15	49	1,293,744	14,811,889	78,932,263	7,001,686
93	10	2	0.05	23	2,761,135	9,131,199	2,505,022	4,608,564
94	16	2	0.03	105	363,839	2,982,593	367,023	1,234,386
